site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,prod_size,dev_stat,ore,gangue,work_type,hrock_type,arock_type
Fleuris,50.28888,4.33225,EU,Belgium,Namur,,N,Barium-Barite,,,Surface,,Producer,,,Surface,,
Bogala Mine,7.13418,80.31702,AS,Sri Lanka,,,N,Graphite,,,Underground,,Producer,,,Underground,,
South Crofty Pendarves Dist.,50.23236,-5.28108,EU,United Kingdom,,,M,Tin,,,Underground,,Producer,,,Underground,,
Milena,37.46572,13.75178,EU,Italy,Sicilia,,N,Potassium,,,Underground,,Prospect,,,Underground,,
Coachapa Salinas,17.8674,-94.6002,NA,Mexico,,,N,Sulfur,,,Well,,Producer,,,Underground,,
Sidi Chennane,32.66622,-7.13162,AF,Morocco,Khouribga,,N,Phosphorus-Phosphates,,,Surface,,Prospect,,,Surface,,
Grootvlei,-26.2133,28.43475,AF,South Africa,,,M,Gold,Silver,PGE,Underground,,Producer,,,Underground,,
Tawi-Tawi,16.4333,120.8382,AS,Philippines,,,M,Copper,,"Molybdenum, Gold, Chromium",Surface,,Prospect,,,Underground,,
Loraine Allanridge,-27.77986,26.61819,AF,South Africa,Free State,,B,Gold,"Silver, Sulfur, Uranium",PGE,Underground,,Producer,,,Underground,,
Redwing/Oldwest,-18.88585,32.67632,AF,Zimbabwe,Manicaland,,M,Gold,Silver,,Underground,,Producer,,,Underground,,
Curtis Island,-23.49667,151.19867,OC,Australia,Queensland,,M,"Zirconium, Titanium, Iron",,,Surface,,Prospect,,,Surface,,
Thepnithi,18.1165,99.46653,AS,Thailand,,,N,Fluorine-Fluorite,,,Surface,,Past Producer,,,Surface,,
Baluba,-13.04923,28.33832,AF,Zambia,Copperbelt,,M,Copper,Cobalt,,Underground,,Producer,"Bornite, Carrollite, Chalcocite, Chalcopyrite, Linnaeite, Pyrite",,Underground,,
Jingxiang Phosphate Mine,31.03207,113.08272,AS,China,Hubei [Hupeh],,N,Phosphorus-Phosphates,,,Surface-Underground,,Producer,,,Underground,,
Selangor Dredging Bhd,2.85131,101.66648,AS,Malaysia,Selangor,,M,Tin,,,Surface,,Producer,,,Surface,,
Soriano,9.61734,118.33267,AS,Philippines,,,B,"Cobalt, Nickel",,"Sulfur-Pyrite, Water, Free",Surface,,Prospect,,,Surface,,
Rmmm Slimes Project,-26.2299,27.96815,AF,South Africa,,,B,Gold,"Silver, Sulfur",,Surface,,Producer,,,Surface,,
Petaling Tin Bhd,2.85131,101.64978,AS,Malaysia,,,M,Tin,,,Surface,,Producer,,,Surface,,
Andasifahatelo Mine,-18.89685,48.43436,AF,Madagascar,Toamasina,,N,Graphite,,,Surface,,Producer,,,Surface,,
Mogbwemo/Pejebu/Lanti/Gveni/Sembeh,8.25102,-12.6986,AF,Sierra Leone,,,M,Titanium,Zirconium,,Surface,,Producer,,,Surface,,
Willowdale Mt. William,-32.94599,116.01603,OC,Australia,Western Australia,,M,Aluminum,,,Surface,,Producer,,,Surface,,
Stockton/Viney Mdl Nsw Operations,-32.813,151.18184,OC,Australia,New South Wales,,M,Titanium,Zirconium,REE,Surface,,Producer,,,Water,,
Mt Kadig,14.05023,122.41597,AS,Philippines,,,M,Nickel,,,Surface,,Prospect,,,Surface,,
Sishen,-27.7666,22.98153,AF,South Africa,,,M,Iron,,,Surface,,Producer,,,Surface,,
Hei Shao Tou/Bai Yun He Pe Mill F,41.91483,109.08276,AS,China,Nei Mongol* (Inner Mongolia),,N,Fluorine-Fluorite,,,Underground,,Producer,,,Underground,,
Moulares,34.48253,8.26844,AF,Tunisia,,,N,Phosphorus-Phosphates,,,Underground,,Producer,,,Underground,,
Umvukwes Section,-17.16377,30.70133,AF,Zimbabwe,,,M,Chromium,,,Underground,,Producer,,,Underground,,
Mac Area 'C',-22.99648,118.76622,OC,Australia,Western Australia,,M,Iron,,,Surface,,Prospect,,,Surface,,
Cooloola,-26.07987,153.11531,OC,Australia,Queensland,,M,"REE, Zirconium, Titanium",,,Surface,,Prospect,,,Surface,,
Shizishan Copper Mine,30.9321,117.78259,AS,China,Anhui [Anhwei],,M,Copper,,,Underground,,Producer,,,Underground,,
Acoje Nickel Project,15.66817,120.04102,AS,Philippines,,,M,Nickel,,,Surface,,Past Producer,,,Surface,,
Ranomena,-18.0302,49.18434,AF,Madagascar,Toamasina,,M,Chromium,,,Surface,,Past Producer,,,Surface,,
Isabela Eluvial,17.26663,122.34926,AS,Philippines,,,M,Chromium,,,Surface,,Prospect,,,Surface,,
Muchea,-31.39605,116.09934,OC,Australia,Western Australia,,M,Aluminum,,,Surface,,Prospect,,,Surface,,
Doi Ngoem W,18.61645,99.84982,AS,Thailand,,,M,Tungsten,,,Surface,,Producer,,,Surface,,
Northern Region Gravel Pumps,18.24978,99.33313,AS,Thailand,,,M,Tin,,Tungsten,Surface,,Producer,,,Surface,,
Safaga,26.54937,33.91808,AF,Egypt,,,N,Phosphorus-Phosphates,,,Underground,,Producer,,,Underground,,
Sangdong,37.1443,128.83704,AS,"Korea, South",,,M,Tungsten,"Bismuth, Molybdenum",,Underground,,Producer,,,Underground,,
Awaso,6.23443,-2.28186,AF,Ghana,Western,,M,Aluminum,,,Surface,,Producer,,,Surface,,
Wannaway,-31.59607,121.51589,OC,Australia,Western Australia,,M,"Nickel, Copper",,,Underground,,Producer,,,Underground,,
Timah Langat Berhad,2.8846,101.68308,AS,Malaysia,,,M,Tin,,,Surface,,Producer,,,Surface,,
Rustenburg Mines,-25.67993,27.53475,AF,South Africa,,,M,Platinum,"Copper, Gold, Nickel","Iridium, Rhodium, Cobalt, Osmium, Palladium, Ruthenium",Underground,,Producer,,,Underground,,
Ismail Taght,36.69922,2.69819,AF,Algeria,,,M,Mercury,,,Surface,,Producer,,,Surface,,
Oriental Gold,18.35977,99.19983,AS,Thailand,,,N,Barium-Barite,,,Surface,,Producer,,,Surface,,
Coto Masinloc-Ug,15.56258,120.09242,AS,Philippines,,,M,Chromium,,"Aluminum, Silica",Underground,,Producer,,,Underground,,
Minjingu,-3.66479,35.78451,AF,Tanzania,Arusha,,N,Phosphorus-Phosphates,,,Surface,,Producer,,,Surface,,
Mt Saddleback Worsley,-32.97929,116.44931,OC,Australia,Western Australia,,M,Aluminum,,,Surface,,Producer,,,Surface,,
Simmergo Division Ergo,-26.2299,28.13475,AF,South Africa,,,M,Gold,Silver,,Surface,,Producer,,,"Surface, Underground",,
Mano River,7.34828,-11.08749,AF,Liberia,,,M,Iron,,,Surface,,Past Producer,,,Surface,,
Hillgrove,-30.57138,151.90687,OC,Australia,New South Wales,,M,Antimony,,Gold,Underground,,Producer,,,Underground,,
Khao Mai Phai,8.8824,99.58293,AS,Thailand,,,N,Barium-Barite,,,Underground,,Producer,,,Surface,,
"Pong Lai Mines, Xian Shan Mill F",37.41512,121.41584,AS,China,Shandong [Shantung],,N,Fluorine-Fluorite,,,Underground,,Producer,,,Underground,,
Malayan Tin Dredging Bhd.,4.20117,101.03309,AS,Malaysia,Perak,,M,Tin,,,Surface,,Producer,,,Surface,,
Pyong-Taek,37.02489,127.46838,AS,"Korea, South",,,N,Graphite,,,Surface,,Producer,,,Surface,,
Kennedy's Vale,-24.82585,30.10001,AF,South Africa,,,M,Platinum,"Copper, Nickel, Gold","Ruthenium, Osmium, Palladium, Iridium, Rhodium",Underground,,Producer,,,Underground,,
Tenke Fungurume,-10.58,26.1533,AF,Congo (Kinshasa),Katanga,,M,Copper,Cobalt,,Surface,,Prospect,"Bornite, Chalcocite, Chrysocolla, Malachite, Carrollite, Chalcopyrite, Covellite, Digenite",,Surface,"Quartzite,Shale,Dolomite",
Woodcutters,-12.96946,131.11019,OC,Australia,Northern Territory*,,M,"Lead, Zinc",Silver,,Underground,,Producer,,,Underground,,
Renco,-20.62606,31.17495,AF,Zimbabwe,,,M,Gold,"Copper, Silver",,Underground,,Producer,,,Underground,,
Jbel Ihroud,31.79959,-9.29835,AF,Morocco,Safi,,N,Barium-Barite,,,Surface,,Producer,,,"Surface, Underground",,
Bwana Mkubwa,-13.0315,28.6923,AF,Zambia,Copperbelt,,M,Copper,,,Surface-Underground,,Past Producer,"Chalcocite, Malachite",,Surface,Clastic Sedimentary Rock,
Yip In Tsoi-Haad Y,7.0009,100.58311,AS,Thailand,,,M,Tin,,,Surface,,Producer,,,Surface,,
Cardona,41.86577,1.63523,EU,Spain,,,N,"Potassium, Salt",,,Underground,,Producer,,,Underground,,
Luanshya,-13.1132,28.3735,AF,Zambia,Copperbelt,,M,Copper,,"Uranium, Cobalt",Surface-Underground,,Producer,,,Underground,,
Dead Sea Works,31.03907,35.23142,AS,Israel,,,B,Potassium,"Salt, Bromine",Magnesite,Surface,,Producer,,,"Surface, Underground",,
Zinc Mine,36.10979,-83.49569,NA,United States,Tennessee,Jefferson,B,Zinc,,"Limestone, General, Stone, Crushed/Broken",Underground,,Past Producer,,,Underground,,
Zangarelhas,-6.16476,-36.49888,SA,Brazil,Rio Grande Do Norte,,M,Tungsten,,,Underground,,Producer,,,Underground,,
Fault Slice Mine,38.11108,-111.89156,NA,United States,Utah,Garfield,M,Antimony,,,Underground,,Past Producer,,,Underground,,
Mathison 2,31.67019,-85.18554,NA,United States,Alabama,Henry,B,Aluminum,,"Water, Free",Surface,,Past Producer,,,Surface,,
Jefferson Mine,33.26125,-85.93436,NA,United States,Alabama,Clay,N,Graphite,,,Surface,,Past Producer,,,Surface,,
Lucas 3,31.70549,-85.20244,NA,United States,Alabama,Henry,B,Aluminum,,"Water, Free",Surface,,Past Producer,,,Surface,,
Black Brothers Sand and Gravel Pit,31.70739,-85.33825,NA,United States,Alabama,Barbour,B,Aluminum,,"Water, Free",Surface,,Past Producer,,,Surface,,
Dixon 3,31.75099,-85.28385,NA,United States,Alabama,Barbour,B,Aluminum,,"Water, Free",Surface,,Past Producer,,,Surface,,
Alabama #1 Mine,33.27455,-85.92356,NA,United States,Alabama,Clay,N,Graphite,,,Surface,,Past Producer,,,Surface,,
Morenci Mine,33.089,-109.35375,NA,United States,Arizona,Greenlee,M,Copper,"Gold, Silver, Molybdenum, Gemstone","REE, Zinc, Uranium, Lead, Talc-Soapstone, Gypsum-Anhydrite, Garnet",Surface,,Producer,"Chalcocite, Chalcopyrite, Andradite, Argentite, Molybdenite, Pyrite, Sphalerite, Stromeyerite, Azurite, Chrysocolla, Copper, Covellite, Cuprite, Gold, Malachite, Galena","Allophane, Alunite, Goethite, Gypsum, Hematite, Jarosite, Magnetite, Nontronite, Opal, Talc, Tremolite",Surface/Underground,"Quartz Monzonite,Limestone","Granite,Schist"
Brady Glacier,58.55661,-136.9202,NA,United States,Alaska,,M,"Nickel, Copper",Cobalt,"Lead, PGE, Zinc",Underground,,Prospect,,,Underground,,
Cochise,31.44044,-109.90755,NA,United States,Arizona,Cochise,M,Copper,,,Surface,,Prospect,"Chalcocite, Copper, Tenorite, Cuprite, Delafossite",,Surface,"Schist,Granitoid",
Fourth of July Mine,32.86011,-109.07594,NA,United States,Arizona,Greenlee,B,Fluorine-Fluorite,,"Beryllium, Copper, Gold, Manganese, Silver, Tungsten",Surface-Underground,,Past Producer,,,"Surface, Underground",,
Chichagoff,57.66361,-136.09922,NA,United States,Alaska,,M,"Gold, Lead, Silver",,,Underground,,Past Producer,,,Underground,,
Jualin Mine Jualin Gold Property,58.84085,-135.04706,NA,United States,Alaska,,M,Gold,Silver,,Underground,,Past Producer,,,Underground,,
Van Dyke,33.39178,-110.87569,NA,United States,Arizona,Gila,M,Copper,"Silver, Fluorine-Fluorite",,Leach,,Past Producer,"Azurite, Chrysocolla, Malachite, Tenorite",Fluorite,Underground,"Quartz Monzonite,Schist",
Canadian  Mine,33.80588,-110.54209,NA,United States,Arizona,Gila,N,Asbestos,,,Underground,,Past Producer,,,Underground,,
Sacaton,32.95465,-111.8166,NA,United States,Arizona,Pinal,M,"Molybdenum, Copper","Gold, Silver",,Underground,,Past Producer,"Antlerite, Brochantite, Chalcocite, Chalcopyrite, Chrysocolla, Covellite, Malachite, Molybdenite, Pyrite, Gold",,Underground,Schist,
New Cornelia Ajo,32.354,-112.86854,NA,United States,Arizona,Pima,M,Copper,"Zinc, Silver, Molybdenum, Gold, Semiprecious Gemstone","Iron, Niobium (Columbium), Titanium, Rubidium",Surface,,Past Producer,"Bornite, Chalcocite, Chalcopyrite, Chrysocolla, Gold, Malachite, Molybdenite, Silver, Covellite, Hematite, Ilmenite, Magnetite, Pyrite, Rutile, Shattuckite, Tenorite","Kaolin, Quartz, Talc","Surface, Surface/Underground","Quartz Monzonite,Alluvium,Volcanic Rock (Aphanitic)",Quartz Monzonite
Oracle Ridge,32.47621,-110.72818,NA,United States,Arizona,Pima,M,Copper,"Gold, Silver",Iron,Underground,,Producer,,,Underground,,
Alcoa Arkansas Operations,34.55842,-92.49186,NA,United States,Arkansas,Saline,B,Aluminum,,"Gallium, Iron, Silica, Titanium, Water, Free",Surface,,Producer,,,Surface,,
Quapaw Bauxite Mine,34.57842,-92.48266,NA,United States,Arkansas,Saline,B,Aluminum,,"Iron, Silica, Titanium, Water, Free",Surface,,Past Producer,,,Surface,,
Mc Knight Pit,34.37012,-93.8124,NA,United States,Arkansas,Montgomery,N,Barium-Barite,,,Surface,,Past Producer,,,Surface,,
Pine Tree Josephine Mine,37.59572,-120.12349,NA,United States,California,Mariposa,M,Gold,,,Underground,,Past Producer,,,Surface,,
Walker Mine,39.96158,-120.66914,NA,United States,California,Plumas,M,"Copper, Gold, Silver",,,Underground,,Past Producer,,,Underground,,
Mcguffy Creek Deposit,41.71593,-123.04283,NA,United States,California,Siskiyou,M,Chromium,,,Surface,,Past Producer,,,Surface,,
Sweetwater Chromite Mine,35.41827,-120.75428,NA,United States,California,San Luis Obispo,M,Chromium,,,Surface-Underground,,Past Producer,,,"Surface, Underground",,
Gibraltar Mine,34.5236,-119.65784,NA,United States,California,Santa Barbara,M,Mercury,,,Surface-Underground,,Past Producer,,,Underground,,
Northgate Mill (Facillity),40.92667,-106.27872,NA,United States,Colorado,Jackson,N,Fluorine-Fluorite,,,Processing Plant,,Past Producer,,,Underground,,
Fluorspar Vein Properties,40.93417,-106.27694,NA,United States,Colorado,Jackson,B,Fluorine-Fluorite,,"Calcium, Silica",Surface-Underground,,Past Producer,,,Underground,,
Khouribga Underground,32.79953,-7.89832,AF,Morocco,Khouribga,,B,Phosphorus-Phosphates,,"Aluminum, Calcium, Fluorine-Fluorite, Iron, Magnesite, Uranium",Underground,,Producer,,,Underground,,
Shizhuyuan Polymetallic Mine,25.76586,113.19944,AS,China,Hunan,,B,"Bismuth, Fluorine-Fluorite, Molybdenum, Tin, Tungsten",,,Surface,,Prospect,,,Surface,,
Champaign Mine,39.30471,-106.16005,NA,United States,Colorado,Park,M,Silver,"Lead, Zinc, Gold",Uranium,Underground,,Past Producer,"Sphalerite, Galena, Chalcopyrite, Tetrahedrite, Pitchblende",,Underground,Plutonic Rock,
Nakatatsu,35.79864,136.59877,AS,Japan,Fukui,,M,"Zinc, Lead, Copper",Silver,Cadmium,Underground,,Producer,,,Underground,,
Haikou Phosphate Mine,24.76592,102.58303,AS,China,Yunnan,,N,Phosphorus-Phosphates,,,Surface,,Producer,,,Surface,,
Madonna No. 1,39.37599,-105.19464,NA,United States,Colorado,Jefferson,N,Quartz,Feldspar,,Surface,,Producer,Quartz,,Surface,,
Powderhorn,38.2611,-107.02252,NA,United States,Colorado,Gunnison,M,Titanium,REE,,Surface,,Prospect,,,Surface,,
Windarra,-28.5295,122.1492,OC,Australia,Western Australia,,M,"Nickel, Copper",,,Underground,,Producer,,,"Surface, Underground",,
Almaden,38.46927,-4.49818,EU,Spain,,,M,Mercury,,,Underground,,Producer,,,"Surface, Underground",,
D. E. Carlton,27.52252,-81.84425,NA,United States,Florida,Hardee,B,Phosphorus-Phosphates,,"Magnesite, Aluminum, Fluorine-Fluorite, Iron, Uranium",Surface,,Prospect,,,Surface,,
Hillsborough Co.- Farmland/Brewster,27.80031,-82.15816,NA,United States,Florida,Hillsborough,B,Phosphorus-Phosphates,,"Magnesite, Uranium, Iron, Aluminum, Fluorine-Fluorite",Surface,,Prospect,,,Surface,,
Trail Ridge Operation,29.91274,-82.03125,NA,United States,Florida,Clay,B,"Staurolite, Titanium, Zirconium",,,Surface,,Producer,,,Surface,,
Wrens Kaolin Area,33.18185,-82.67517,NA,United States,Georgia,Glascock,B,Aluminum,,"Iron, Silica, Titanium, Water, Free",Surface,,Prospect,,,Surface,,
Barcroft,38.78313,-75.16072,NA,United States,Delaware,Sussex,M,Magnesite,,,Processing Plant,,Producer,,,Water,,
Pierce-Pebbledale,27.83221,-81.95985,NA,United States,Florida,Polk,B,Phosphorus-Phosphates,,"Aluminum, Fluorine-Fluorite, Iron, Magnesite, Uranium",Surface,,Producer,,,Surface,,
Henry Phosphate Mine,42.87621,-111.47322,NA,United States,Idaho,Caribou,B,Phosphorus-Phosphates,Vanadium,"Fluorine-Fluorite, REE, Uranium",Surface,,Past Producer,,,Surface,"Limestone,Shale,Siltstone,Dolomite,Chert","Limestone,Sandstone,Shale,Chert"
Thompson Creek Mine,44.33379,-114.58623,NA,United States,Idaho,Custer,M,Tungsten,,,Underground,,Past Producer,Scheelite,"Garnet, Pyrite, Quartz",Underground,"Limestone,Quartzite,Skarn (Tactite)",Quartz Monzonite
Elk City Mines Buffalo Gulch,45.83877,-115.48318,NA,United States,Idaho,Idaho,M,Gold,,Silver,Surface,,Past Producer,,,Surface,,
Americus,32.15488,-84.33552,NA,United States,Georgia,Sumter,B,Aluminum,,"Iron, Silica, Titanium, Water, Free",Surface,,Prospect,,,Surface,,
Boehls,46.86957,-115.79711,NA,United States,Idaho,Clearwater,B,Aluminum,,"Sodium, Silica, Calcium, Iron",Surface,,Prospect,,,Surface,,
Muscovite Mine,46.88956,-116.57933,NA,United States,Idaho,Latah,B,"Mica, Beryllium",,Uranium,Surface-Underground,,Past Producer,"Beryl, Muscovite","Apatite, Biotite, Hematite, Limonite, Quartz, Tourmaline",Surface/Underground,"Mica Schist,Pegmatite",
Gilmore Mine,44.4521,-113.28559,NA,United States,Idaho,Lemhi,M,"Silver, Lead",,"Zinc, Gold, Iron, Copper",Underground,,Past Producer,,,Underground,,
Caminada Mine,29.13337,-89.99118,NA,United States,Louisiana,Jefferson,N,Sulfur,,,Well,,Past Producer,,,Underground,,
Kingston No.2,47.28,-88.38695,NA,United States,Michigan,Houghton,M,Copper,,,Underground,,Past Producer,,,Underground,,
Kearsarge Amygdaloid No.2,47.2778,-88.41755,NA,United States,Michigan,Houghton,M,Copper,,,Underground,,Past Producer,,,Underground,,
Lasher Project,37.26677,-88.38254,NA,United States,Kentucky,Livingston,B,"Fluorine-Fluorite, Zinc",,,Underground,,Prospect,,,Underground,,
Presque Isle Syncline,46.6833,-89.9834,NA,United States,Michigan,Gogebic,M,Copper,Silver,,Underground,,Occurrence,,,Underground,,
LTV Mine,47.6,-92.14189,NA,United States,Minnesota,St. Louis,M,Iron,,,Surface,,Producer,,,Surface,,
Magnetic Taconite Mesabi Range 17w,47.46329,-92.5374,NA,United States,Minnesota,St. Louis,B,Iron,,"Water, Free",Surface,,Prospect,,,Surface,,
Wilcox Kaolin Belt,34.54652,-89.17946,NA,United States,Mississippi,Union,M,Aluminum,,"Titanium, Silica, Iron, Water, Free",Surface,,Prospect,,,Surface,,
Seneca,47.3811,-88.34864,NA,United States,Michigan,Keweenaw,M,Copper,,,Underground,,Past Producer,,,Underground,,
National Steel Pellet,47.41389,-93.06272,NA,United States,Minnesota,Itasca,M,Iron,,,Surface,,Producer,,,Surface,,
C. Weber Mine,38.65285,-92.36407,NA,United States,Missouri,Cole,B,Barium-Barite,,Zinc,Surface,,Past Producer,,,Surface,,
C. Foster Sand & Gravel,36.74178,-91.86685,NA,United States,Missouri,Howell,N,"Sand and Gravel, Construction",,,Processing Plant,,Producer,,,Surface,,
Kline Tract,36.97977,-94.05712,NA,United States,Missouri,Lawrence,M,"Zinc, Lead",,,Underground,,Past Producer,,,Underground,,
Rex Mine,36.62788,-92.06405,NA,United States,Missouri,Howell,M,Zinc,,,Surface,,Past Producer,,,Surface,,
M. Manier Sand & Gravel,37.33117,-91.96515,NA,United States,Missouri,Texas,N,"Sand and Gravel, Construction",,,Surface,,Producer,,,Surface,,
Doss and Harper Sand Pit,36.77228,-91.53904,NA,United States,Missouri,Oregon,N,"Sand and Gravel, Construction",,,Surface,,Producer,,,Surface,,
Sweetwater,37.35977,-91.14823,NA,United States,Missouri,"Reynolds, Shannon",M,Lead,"Zinc, Silver","Nickel, Copper, Cobalt, Cadmium",Underground,,Past Producer,"Galena, Sphalerite, Chalcopyrite, Linnaeite, Bornite, Covellite, Digenite","Dolomite, Calcite, Dickite, Marcasite, Millerite, Polydymite, Quartz",Underground,"Dolomite,Wacke,Mudstone",
Alice Mine,36.59178,-92.12456,NA,United States,Missouri,Ozark,M,Zinc,,,Surface,,Past Producer,,,Surface,,
Hornsey Brothers Mine,37.98336,-90.66681,NA,United States,Missouri,Washington,N,Barium-Barite,,,Surface,,Past Producer,,,Surface,,
West Fork,37.49257,-91.10903,NA,United States,Missouri,Reynolds,M,"Lead, Zinc","Copper, Silver","Cadmium, Cobalt, Nickel",Underground,,Producer,,,Underground,,
Buckman Laboratories Inc.,37.98866,-90.68841,NA,United States,Missouri,Washington,N,Barium-Barite,,,Surface,,Prospect,,,Surface,,
Lexington,46.0277,-112.53529,NA,United States,Montana,Silver Bow,M,"Zinc, Lead",Silver,,Underground,,Past Producer,,,Underground,,
Three Kids,36.07,-114.808,NA,United States,Nevada,Clark,M,Manganese,,"Zinc, Silver, Silica, Lead, Iron, Gold, Copper, Aluminum",Surface,,Past Producer,,,Surface,,
Lyon Deposit,38.92821,-119.04238,NA,United States,Nevada,Lyon,M,Copper,"Gold, Silver",,Surface,,Occurrence,,,Underground,,
Austin Gold Venture,39.38522,-117.09263,NA,United States,Nevada,Lander,M,Gold,,"Zinc, Silver, Copper, Antimony",Surface,,Past Producer,,,Surface,,
International Minerals & Chemicals,32.41264,-103.93719,NA,United States,New Mexico,Eddy,N,Potassium,,Salt,Underground,,Producer,,,Underground,,
Mississippi Chemical Mine,32.48984,-103.93859,NA,United States,New Mexico,Eddy,N,Potassium,,,Underground,,Producer,,,Underground,,
Princess Mine,32.80181,-108.09751,NA,United States,New Mexico,Grant,M,Zinc,,"Lead, Copper",Underground,,Past Producer,,,Underground,,
Morgan Hill Chromite Prospect,35.7718,-82.50706,NA,United States,North Carolina,Buncombe,M,Chromium,,Iron,Surface,,Past Producer,,,Surface,,
Chambers Mine,44.35015,-118.81636,NA,United States,Oregon,Grant,M,Chromium,,,Surface-Underground,,Past Producer,,,"Surface, Underground",,
Ackerman Kaolin,35.8657,-88.45084,NA,United States,Tennessee,Carroll,B,Aluminum,,"Water, Free, Silica, Titanium, Iron",Surface,,Prospect,,,Surface,,
Mateen,43.92306,-103.57666,NA,United States,South Dakota,Pennington,M,Lithium,,Tin,Surface,,Past Producer,,,Surface,,
Rough and Ready,44.37966,-104.05308,NA,United States,South Dakota,Lawrence,M,Tin,,,Surface,,Past Producer,,,Surface,,
Wharf Mine,44.35556,-103.83808,NA,United States,South Dakota,Lawrence,M,Gold,Silver,,Surface,,Producer,,,Surface,,
Honeybrook Anorthosite,40.09001,-75.82963,NA,United States,Pennsylvania,Chester,B,Aluminum,,"Iron, Sodium, Potassium, Calcium",Surface,,Prospect,,,Surface,,
Comstock/Mountain Lion,37.64827,-113.3597,NA,United States,Utah,Iron,M,Iron,,,Surface,,Producer,,,Surface,,
Cougar Spar,38.21186,-113.84302,NA,United States,Utah,Beaver,N,Fluorine-Fluorite,,,Surface,,Past Producer,,,Surface,,
Stella Mine,38.11308,-111.88686,NA,United States,Utah,Garfield,M,Antimony,,,Underground,,Past Producer,,,Underground,,
Cumberland Mine,36.25839,-85.93326,NA,United States,Tennessee,Smith,B,Zinc,Cadmium,Dolomite,Underground,,Producer,,,Underground,,
White Mountain,38.29996,-113.33081,NA,United States,Utah,Beaver,B,"Sulfur, Potassium",,Aluminum,Surface,,Prospect,,,"Surface, Underground",,
Eureka Mine,35.03231,-84.36572,NA,United States,Tennessee,Polk,B,"Zinc, Copper",Sulfur-Pyrite,"Silver, Lead, Gold",Underground,,Past Producer,,,Underground,,
Paisano Mine,29.46693,-103.45876,NA,United States,Texas,Brewster,B,Fluorine-Fluorite,,"Silica, Limestone, General",Surface-Underground,,Producer,,,Surface,,
Hickman-Maury Counties Properties,35.7707,-87.2822,NA,United States,Tennessee,Maury,B,Phosphorus-Phosphates,,"Water, Free, Aluminum, Calcium, Fluorine-Fluorite, Iron",Surface,,Producer,,,Surface,,
Payday,38.79527,-110.83464,NA,United States,Utah,Emery,M,Vanadium,,"Copper, Uranium",Underground,,Past Producer,,,Underground,,
Stauffer Chemical Co. Properties,35.5302,-87.1716,NA,United States,Tennessee,Maury,B,Phosphorus-Phosphates,,"Iron, Aluminum, Calcium, Fluorine-Fluorite",Surface,,Producer,,,Surface,Limestone,
Gem Mine,38.10028,-111.91267,NA,United States,Utah,Garfield,M,Antimony,,,Underground,,Past Producer,,,Underground,,
Austinville-Ivanhoe Mine,36.84727,-80.92011,NA,United States,Virginia,Wythe,B,"Zinc, Lead",,Dolomite,Underground,,Past Producer,,,Underground,,
Ontario Mine,40.62414,-111.49798,NA,United States,Utah,Summit,M,"Zinc, Lead",Silver,,Underground,,Producer,,,Underground,,
Cofer,38.0503,-77.8775,NA,United States,Virginia,Louisa,B,"Zinc, Copper, Sulfur",,"Sulfur-Pyrite, Sulfur, Sulfuric Acid",Underground,,Prospect,,,Underground,,
Lowell Mine and Mill,44.76667,-72.52449,NA,United States,Vermont,Orleans,N,Asbestos,,,Surface,,Past Producer,,,Surface,,
Key West Underground,48.71265,-118.55973,NA,United States,Washington,Ferry,M,Gold,,Silver,Surface,,Past Producer,,,Surface,,
Jelm Mountain,41.0833,-105.98395,NA,United States,Wyoming,Albany,M,"Copper, Gold, Bismuth",,,Underground,,Prospect,"Bismutite, Bismuth",,Underground,,
Black River Falls,44.2931,-90.72513,NA,United States,Wisconsin,Jackson,B,Iron,,"Water, Free",Surface,,Past Producer,,,Surface,,
Sultepec,18.85065,-99.98364,NA,Mexico,Mexico,,M,"Gold, Silver","Lead, Copper, Zinc",,Underground,,Producer,,,"Surface, Underground",,
Wadley Mine,23.65044,-100.81707,NA,Mexico,San Luis Potosi,,M,Antimony,,,Surface,,Producer,,,"Surface, Underground",,
Sherman,47.06999,-79.83973,NA,Canada,Ontario,,M,Iron,,,Surface,,Producer,,,Surface,,
Sturgeon Lake Mine,49.88001,-90.92015,NA,Canada,Ontario,,M,"Copper, Silver, Zinc","Gold, Lead",,Surface,,Producer,,,Surface,,
Dy,62.21655,-133.21892,NA,Canada,,,M,"Lead, Silver, Zinc",,,Underground,,Prospect,,,Underground,,
Santo Tomas,26.7336,-108.48389,NA,Mexico,Sinaloa,,M,Copper,"Gold, Molybdenum, Silver",,Surface,,Prospect,,,Surface,,
Onaping/Craig,46.63329,-81.38729,NA,Canada,Ontario,,M,"Cobalt, Copper, Gold, Palladium, Platinum, Rhodium, Ruthenium, Silver, Nickel, Iridium",,,Underground,,Producer,,,Underground,,
Tom Claims,63.16663,-130.15217,NA,Canada,,,M,"Lead, Zinc",Silver,,Underground,,Prospect,,,Underground,,
Howard's Pass,62.44992,-129.18538,NA,Canada,,,M,"Lead, Zinc",Silver,,Underground,,Prospect,,,Underground,,
Ajax,55.56,-129.54,NA,Canada,British Columbia,,M,Molybdenum,Copper,,Underground,,Prospect,,,Underground,,
Unidad De Taxco,18.55066,-99.58363,NA,Mexico,Guerrero,,M,"Zinc, Silver, Lead",,,Underground,,Producer,,,Underground,,
